,s2,dm,ji
496903,0.11319051343925104,0.0026958,12.884056783562743
496904,0.1132605531978268,0.0026958,12.96213124132
496905,0.11333061185154655,0.0026958,13.040468844473269
496906,0.1134006893969874,0.0026958,13.119069841168601
496907,0.11347078583072545,0.0026958,13.197934479658896
496908,0.1135409011493361,0.0026958,13.277063008304191
496909,0.1136110353493936,0.0026958,13.356455675571242
496910,0.1136811884274714,0.0026958,13.436112730033967
496911,0.11375136038014196,0.0026958,13.516034420373261
496912,0.11382155120397686,0.0026958,13.596220995376912
496913,0.11389176089554673,0.0026958,13.676672703940023
496914,0.11396198945142133,0.0026958,13.757389795064631
496915,0.11403223686816948,0.0026958,13.838372517859844
496916,0.114102503142359,0.0026958,13.919621121541832
496917,0.11417278827055692,0.0026958,14.001135855434077
496918,0.11424309224932926,0.0026958,14.082916968967067
496919,0.11431341507524108,0.0026958,14.164964711678502
496920,0.11438375674485665,0.0026958,14.24727933321322
496921,0.11445411725473922,0.0026958,14.329861083323424
496922,0.11452449660145113,0.0026958,14.412710211868324
496923,0.11459489478155388,0.0026958,14.49582696881467
496924,0.11466531179160792,0.0026958,14.579211604236137
496925,0.11473574762817287,0.0026958,14.66286436831397
496926,0.11480620228780745,0.0026958,14.746785511336624
496927,0.11487667576706932,0.0026958,14.830975283699791
496928,0.1149471680625154,0.0026958,14.915433935906682
496929,0.1150176791707016,0.0026958,15.000161718567801
496930,0.11508820908818285,0.0026958,15.085158882400963
496931,0.11515875781151337,0.0026958,15.170425678231622
496932,0.11522932533724616,0.0026958,15.25596235699224
496933,0.11529991166193355,0.0026958,15.341769169723202
496934,0.11537051678212693,0.0026958,15.427846367572142
496935,0.11544114069437653,0.0026958,15.514194201794025
496936,0.115511783395232,0.0026958,15.600812923751702
496937,0.11558244488124185,0.0026958,15.687702784915151
496938,0.11565312514895368,0.0026958,15.774864036862104
496939,0.11572382419491435,0.0026958,15.86229693127793
496940,0.11579454201566952,0.0026958,15.950001719955322
496941,0.11586527860776424,0.0026958,16.037978654794927
496942,0.1159360339677424,0.0026958,16.126227987804704
496943,0.11600680809214713,0.0026958,16.214749971100353
496944,0.11607760097752053,0.0026958,16.303544856905397
496945,0.11614841262040378,0.0026958,16.39261289755074
496946,0.11621924301733733,0.0026958,16.48195434547531
496947,0.1162900921648605,0.0026958,16.57156945322552
496948,0.11636096005951176,0.0026958,16.66145847345559
496949,0.11643184669782874,0.0026958,16.751621658927668
496950,0.116502752076348,0.0026958,16.84205926251127
496951,0.1165736761916054,0.0026958,16.932771537184223
496952,0.11664461904013565,0.0026958,17.02375873603178
496953,0.1167155806184727,0.0026958,17.11502111224727
496954,0.11678656092314955,0.0026958,17.20655891913176
496955,0.11685755995069827,0.0026958,17.29837241009416
496956,0.11692857769765,0.0026958,17.39046183865147
496957,0.11699961416053505,0.0026958,17.482827458428417
496958,0.11707066933588267,0.0026958,17.575469523157736
496959,0.11714174322022132,0.0026958,17.668388286680077
496960,0.11721283581007845,0.0026958,17.76158400294409
496961,0.11728394710198076,0.0026958,17.85505692600651
496962,0.11735507709245385,0.0026958,17.948807310032002
496963,0.11742622577802245,0.0026958,18.042835409293183
496964,0.11749739315521053,0.0026958,18.137141478170918
496965,0.11756857922054087,0.0026958,18.231725771153883
496966,0.1176397839705356,0.0026958,18.326588542839183
496967,0.11771100740171585,0.0026958,18.421730047931774
496968,0.11778224951060168,0.0026958,18.51715054124474
496969,0.11785351029371258,0.0026958,18.612850277699593
496970,0.11792478974756672,0.0026958,18.708829512325643
496971,0.11799608786868168,0.0026958,18.80508850026063
496972,0.118067404653574,0.0026958,18.90162749675045
496973,0.11813874009875923,0.0026958,18.998446757149175
496974,0.1182100942007522,0.0026958,19.0955465369192
496975,0.11828146695606667,0.0026958,19.19292709163117
